cycle	started_at	finished_at	status	passed	failed	repair_attempted
1	2026-08-22T03:57:25.228Z	2026-08-22T03:57:36.161Z	completed	3	0	false
2	2026-08-22T04:02:02.854Z	2026-08-22T04:02:13.831Z	completed	3	0	false
